,0,1,2,3,4,5,6,7,8,9,10
01centerlight,0.17387977853539816,-1.7709415257496688,0.0948047808948153,-0.13779985668919995,-0.7674346435274403,0.9683146627590542,1.1899439925835311,-1.5077494712032056,-0.8014628767464342,-0.3492146548615382,-1.2251918791901082
01glasses,0.0875758477852537,-0.5480939085421326,-0.2448927559574313,0.5819541348087508,-0.7421785362330606,-1.8990546890602504,1.7894640667067154,0.7045920624311913,-1.358552642408071,0.22057280735598947,-2.0333242982906214
01happy,0.17973592062612057,-0.4579218777736149,-0.17610629437336311,1.0641589503094127,-0.45600237754873113,-1.1164563410867447,2.6896920739203534,1.5610726142166438,-1.2999434197507953,-0.5062721163893397,-1.2760746222144945
01leftlight,-0.4216795760314671,-2.4239928932259143,0.6128873161774824,-0.8039961069009937,-0.9352179850807181,1.5061492609754252,0.0562987197271071,-0.33366595143430455,0.19277286380043163,-0.06706520190707835,-1.3180737732652315
01noglasses,0.4358344068603981,-0.8627323202394143,-0.2317337369186603,0.24208508198488227,-0.06177072853345234,-2.0410410326976773,2.447765389035884,0.10767294574291762,-0.05311269766144705,-0.29142376451574953,-2.388402507994105
01normal,0.3055138261917729,-0.7626961150451863,-0.314238714659219,0.8578041490493774,-0.05829926659668442,-1.5842027157048137,2.4524445005217235,0.17151138992787307,-0.2838111080954647,0.6607135690351024,-2.451173526055552
01rightlight,2.0228674470585024,2.0754580566545844,1.3882853466650364,-0.8833911588435389,-0.9929271407345327,0.6103871696687025,0.7749417202552543,-1.1909286418282394,-0.5558559964972942,-0.6838626004379634,-0.057504666981289254
01sad,0.3851472342681294,-0.5690446591103417,-0.08521338315901444,0.9424483995949701,0.28641003208225585,-1.1859506963535125,2.243306145922509,-0.9553181600748497,-0.33014001162876067,-0.8263188416895969,-2.224640480214095
01sleepy,0.23812439545477596,-0.73250327079455,-0.35872826528473817,1.0122847619794606,-0.16732387277685634,-1.565693129153791,2.4095223852495447,0.7225391378941141,-0.5874438244272546,-0.1308066156687011,-2.2680775453141315
01surprised,0.18835224946759982,-0.6182749816804832,-0.10533675709500834,1.0608466065604627,0.2577373977297585,-1.9036190161935203,1.0228159751919266,0.6422841204824932,-1.3905706013860029,-0.28213335854424354,-1.0287367429063174
01wink,0.11807179454792514,-0.7204858673129035,-0.2429510902997601,0.28436438033672223,-0.14756353636341402,-1.5942703054681762,1.430851952166752,2.6526370462133197,-0.9159272837507679,0.0907771776114573,-1.5885631121787178
02centerlight,-0.5587962512298532,0.22160268280047138,-0.6264001961669666,-1.7284875081793682,-0.4871953621687261,-0.3400515584934982,2.3011471523048326,-0.43957754187667464,0.8368675841975921,0.41425107869807987,1.1034436956927383
02glasses,-0.9849502568019705,0.11209054207009589,0.134054117679563,0.19947016383596997,-0.8280391195777693,-0.04458828104300903,0.4018263594007289,0.7719014332520846,-0.19357197865238943,-0.6857105721258887,-0.13280610078632418
02happy,-0.9854683105815659,0.22205415945169896,0.08459004803299687,0.148400097063826,-0.5839183439631902,-0.03135804685223563,1.0072688233177962,1.3495311522543099,-0.44254664244133274,-1.0889343987566131,0.14635077284074458
02leftlight,-1.0686776497003698,-1.6851424101680066,0.17169152858673997,-1.0256960314325525,-1.0531292003269739,1.0464755568593667,0.6541505550925005,0.2901135846472501,0.5444739721516982,-0.6979492134531525,0.19713307861730878
02noglasses,-1.0074568913462252,0.226671443061641,0.028641319406208694,0.2280165724076971,-0.274195091696519,0.261980080251561,1.3241219111532105,-0.030500100034904384,-0.1253625813270435,-1.3614497773876217,-0.5284747370064221
02normal,-1.0074568913462252,0.226671443061641,0.028641319406208694,0.2280165724076971,-0.274195091696519,0.261980080251561,1.3241219111532105,-0.030500100034904384,-0.1253625813270435,-1.3614497773876217,-0.5284747370064221
02rightlight,0.705077182218149,1.8805285440380648,0.31472076859604686,-0.9020924526800018,-1.2103573672402288,-0.2319967125205419,1.0079405771975105,0.18342015460310554,0.7294281463847025,-0.10253110202752032,0.3467690660563563
02sad,-0.9704355630767062,0.10939402593550822,0.07713018392701408,0.7152138109270195,-0.4390957642581549,-0.18256567497785095,0.6041525390131346,0.842732570324268,-0.13577223756221457,-0.7668100506579726,-0.23436980451073325
02sleepy,-1.0256607056764553,0.2746840522446211,-0.02400720140142905,-0.016349548484456407,-0.34476489585439957,0.04781942536872664,1.301578661685186,0.07287378075878667,0.10013107363849996,-1.2526529914852704,-0.36904397560582264
